fieldID,fieldName,fieldType,validationMessage,placeholder,questionID
1000,Enter suspect information to create:,customelabel,,,0
1001,First Name,textbox,Please enter,First Name,0
1002,Last Name,textbox,Please enter ,Last Name,0
1003,Mobile,phone,Please enter valid,789678777,0
1004,Home,phone,Please enter valid,112303300,0
1005,Work,phone,Please enter valid,112303300,0
1006,Email ID,emailID,Please enter ,Email ID,0
1007,Suspect Information,customelabel,,,0
1008,Type,textbox,Please enter ,Type,0
1009,Salutation,dropdown,Please select ,Salutation,0
1010,Date Of Birth,date,Please select ,Date Of Birth,0
1011,Age (Next B’day),numeric,Please enter ,Age (Next B’day),0
1012,Occupation,dropdown,Please select ,Occupation,0
1013,Communication Address:,label,,,0
1014,Address Line 1,textbox,Please enter ,Address Line 1,0
1015,Address Line 2,textbox,Please enter ,Address Line 2,0
1016,Province,dropdown,Please select ,Province,0
1017,District,dropdown,Please select ,District,0
1018,City/Town,dropdown,Please select ,City/Town,0
1019,Zip/Pin Code,textbox,Please enter ,Zip/Pin Code,0
1020,Prospect Information,customelabel,,,0
1021,Personal Information,customelabel,,,0
1022,Household Expenses,customelabel,,,0
1023,Value Of Assets and Liabilities,customelabel,,,0
1024,Family Income,customelabel,,,0
1025,Analysis,customelabel,,,0
1026,Additional Details,customelabel,,,0
1027,NIC,textbox,Please enter ,NIC,0
1028,Gender,dropdown,Please select ,Gender,0
1029,Average Monthly Household Income,dropdown,Please select ,Average Monthly Household Income,0
1030,Marital Status,dropdown,Please select ,Marital Status,0
1031,Prospect,imagelable,,,0
1032,Name,textbox,Please enter,Name,0
1033,Marital Status,radiogroup,Please select ,Marital Status,0
1034,Employer,textbox,Please enter ,Employer,0
1035,Dependent,multicontrol,Please select ,Dependent,0
1036,Food,mediaslider,Please select ,Food,0
1037,House Rent/Electricity/Water/Telephone,mediaslider,Please select ,House Rent/Electricity/Water/Telephone,0
1038,Clothes,mediaslider,Please select ,Clothes,0
1039,Transport,mediaslider,Please select ,Transport,0
1040,Family Health Care,mediaslider,Please select ,Family Health Care,0
1041,Education Of Children,mediaslider,Please select ,Education Of Children,0
1042,Special Events and Entertainments,mediaslider,Please select ,Special Events and Entertainments,0
1043,Maid's and other Helpers Salary,mediaslider,Please select ,Maid's and other Helpers Salary,0
